Algo,GraphSize,PQType,Result_ms
AStar,153,BMH,0.9976000001188368
AStar,153,LL,0.9170999983325601
Prims,153,BMH,18.33920000353828
Prims,153,LL,51.49310000706464
AStar,154,BMH,1.2462000013329089
AStar,154,LL,1.4959999825805426
Prims,154,BMH,25.361500011058524
Prims,154,LL,62.158700020518154
AStar,155,BMH,1.2399999832268804
AStar,155,LL,1.2370000185910612
Prims,155,BMH,30.514399986714125
Prims,155,LL,62.04700001399033
AStar,156,BMH,1.21640000725165
AStar,156,LL,1.0947000118903816
Prims,156,BMH,29.751800000667572
Prims,156,LL,62.11200001416728
AStar,157,BMH,0.975500006461516
AStar,157,LL,1.2391999771352857
Prims,157,BMH,28.974899993045256
Prims,157,LL,50.985700014280155
AStar,158,BMH,0.9234999888576567
AStar,158,LL,1.1362999794073403
Prims,158,BMH,30.913399998098612
Prims,158,LL,60.989399993559346
AStar,159,BMH,1.4819999923929572
AStar,159,LL,1.6110999858938158
Prims,159,BMH,34.301500010769814
Prims,159,LL,78.96830001845956
AStar,160,BMH,1.1386999976821244
AStar,160,LL,1.0189999884460121
Prims,160,BMH,33.85129998787306
Prims,160,LL,59.49799998779781
AStar,161,BMH,1.3027999957557768
AStar,161,LL,1.2956999999005347
Prims,161,BMH,31.764600018505007
Prims,161,LL,62.063499994110316
AStar,162,BMH,1.2101999891456217
AStar,162,LL,1.4973999932408333
Prims,162,BMH,32.60420000879094
Prims,162,LL,86.78719997988082
AStar,163,BMH,1.525300001958385
AStar,163,LL,1.209999987622723
Prims,163,BMH,60.81439999979921
Prims,163,LL,66.36100000469014
AStar,164,BMH,2.6005000108852983
AStar,164,LL,2.358600002480671
Prims,164,BMH,32.04739998909645
Prims,164,LL,60.65300002228469
AStar,165,BMH,1.2805999722331762
AStar,165,LL,1.1906000145245343
Prims,165,BMH,34.10329998587258
Prims,165,LL,63.60919997678138
AStar,166,BMH,1.1138000118080527
AStar,166,LL,1.3893000141251832
Prims,166,BMH,37.227399996481836
Prims,166,LL,59.91799998446368
AStar,167,BMH,1.0363999754190445
AStar,167,LL,1.0163999977521598
Prims,167,BMH,18.09949998278171
Prims,167,LL,37.645200005499646
AStar,168,BMH,1.0152999893762171
AStar,168,LL,1.1626000050455332
Prims,168,BMH,17.972200002986938
Prims,168,LL,39.81660000863485
AStar,169,BMH,1.1549000046215951
AStar,169,LL,1.1051000037696213
Prims,169,BMH,18.185799999628216
Prims,169,LL,38.22059999220073
AStar,170,BMH,1.0181000106967986
AStar,170,LL,0.995899987174198
Prims,170,BMH,18.714899983024225
Prims,170,LL,38.41749997809529
AStar,171,BMH,1.2193000002298504
AStar,171,LL,1.4566000027116388
Prims,171,BMH,18.670700024813414
Prims,171,LL,41.41480001271702
AStar,172,BMH,1.057300018146634
AStar,172,LL,1.2005000025965273
Prims,172,BMH,18.566800019470975
Prims,172,LL,39.01810001116246
AStar,173,BMH,1.0355999984312803
AStar,173,LL,1.0131000017281622
Prims,173,BMH,19.328299997141585
Prims,173,LL,44.671000010566786
AStar,174,BMH,1.1417999921832234
AStar,174,LL,1.1147999903187156
Prims,174,BMH,19.32150000357069
Prims,174,LL,42.24770001019351
AStar,175,BMH,0.9641999786254019
AStar,175,LL,0.9378999820910394
Prims,175,BMH,19.207200006349012
Prims,175,LL,41.44539998378605
AStar,176,BMH,0.9790000040084124
AStar,176,LL,0.9557000012136996
Prims,176,BMH,19.442499993601814
Prims,176,LL,45.1335999823641
AStar,177,BMH,1.1337999894749373
AStar,177,LL,1.7767999961506575
Prims,177,BMH,22.11599997826852
Prims,177,LL,48.77549997763708
AStar,178,BMH,1.0790000087581575
AStar,178,LL,0.9181999776046723
Prims,178,BMH,23.0522999772802
Prims,178,LL,58.46159998327494
AStar,179,BMH,1.1839999933727086
AStar,179,LL,1.7588000046089292
Prims,179,BMH,24.229200003901497
Prims,179,LL,51.93489999510348
AStar,180,BMH,1.6808000218588859
AStar,180,LL,1.4659000153187662
Prims,180,BMH,24.27150000585243
Prims,180,LL,57.69240000518039
AStar,181,BMH,1.431700016837567
AStar,181,LL,1.3739000132773072
Prims,181,BMH,26.9650999980513
Prims,181,LL,52.310099999886006
AStar,182,BMH,1.372400001855567
AStar,182,LL,1.1958999966736883
Prims,182,BMH,24.872400012100115
Prims,182,LL,56.2701000017114
AStar,183,BMH,1.0630000033415854
AStar,183,LL,1.0375999845564365
Prims,183,BMH,26.521299994783476
Prims,183,LL,54.49540002155118
AStar,184,BMH,1.648300007218495
AStar,184,LL,1.4267000078689307
Prims,184,BMH,29.705900000408292
Prims,184,LL,51.278900005854666
AStar,185,BMH,1.3030999980401248
AStar,185,LL,1.2820999836549163
Prims,185,BMH,25.472300010733306
Prims,185,LL,65.29229998704977
AStar,186,BMH,1.1682999902404845
AStar,186,LL,1.4258000010158867
Prims,186,BMH,25.63940000254661
Prims,186,LL,55.16879999777302
AStar,187,BMH,1.1411000159569085
AStar,187,LL,1.1163000017404556
Prims,187,BMH,22.65229998738505
Prims,187,LL,51.64620000869036
AStar,188,BMH,1.248600019607693
AStar,188,LL,2.384799998253584
Prims,188,BMH,23.26859999448061
Prims,188,LL,53.93220001133159
AStar,189,BMH,1.3666000158991665
